id,strict_correct,contains_correct,latency_s,input_tokens,output_tokens,total_tokens,est_cost_usd,finish_reason,error
47,False,False,4.3,152,277,429,0.000592,stop,
48,True,True,5.62,1898,270,2168,0.0010145,stop,
49,False,False,4.56,865,338,1203,0.00089225,stop,
50,False,False,6.19,1319,273,1592,0.00087575,stop,
51,True,True,3.85,889,209,1098,0.00064025,stop,
52,True,True,2.9,572,139,711,0.000421,stop,
53,False,False,8.19,1544,653,2197,0.001692,stop,
54,True,True,3.03,304,149,453,0.000374,stop,
55,False,False,6.17,921,461,1382,0.00115225,stop,
56,False,False,8.19,354,602,956,0.0012925,stop,
57,False,False,2.6,1258,219,1477,0.0007525,stop,
58,True,True,4.38,1311,335,1646,0.00099775,stop,
59,False,False,6.02,596,403,999,0.000955,stop,
60,False,False,6.3,1110,395,1505,0.0010675,stop,
61,False,False,5.06,480,341,821,0.000802,stop,
62,False,False,10.28,335,778,1113,0.00163975,stop,
63,False,False,16.04,355,1166,1521,0.00242075,stop,
64,False,False,9.3,1048,532,1580,0.001326,stop,
65,True,True,7.81,1117,653,1770,0.00158525,stop,
66,False,False,9.15,299,461,760,0.00099675,stop,
67,False,False,8.74,995,402,1397,0.00105275,stop,
68,False,False,8.93,287,601,888,0.00127375,stop,
69,False,False,4.46,190,278,468,0.0006035,stop,
70,False,False,5.24,378,337,715,0.0007685,stop,
71,False,False,5.01,1308,345,1653,0.001017,stop,
72,True,True,5.39,1234,333,1567,0.0009745,stop,
73,True,True,2.82,303,144,447,0.00036375,stop,
74,False,False,7.44,737,661,1398,0.00150625,stop,
75,True,True,14.66,485,916,1401,0.00195325,stop,
76,False,False,6.13,313,399,712,0.00087625,stop,
77,True,True,6.34,2919,431,3350,0.00159175,stop,
78,True,True,10.34,746,524,1270,0.0012345,stop,
79,False,False,5.41,2073,338,2411,0.00119425,stop,
80,False,False,14.97,2361,914,3275,0.00241825,stop,
81,False,False,6.64,1012,530,1542,0.001313,stop,
82,False,False,5.83,655,345,1000,0.00085375,stop,
83,True,True,13.31,400,845,1245,0.00179,stop,
84,False,False,3.78,162,346,508,0.0007325,stop,
85,True,True,7.15,1044,538,1582,0.001337,stop,
86,False,False,5.98,205,470,675,0.00099125,stop,
87,True,True,14.44,1257,978,2235,0.00227025,stop,
88,False,False,5.2,624,207,831,0.00057,stop,
89,False,False,7.36,587,523,1110,0.00119275,stop,
90,False,False,12.4,1212,986,2198,0.002275,stop,
91,False,False,8.7,1321,611,1932,0.00155225,stop,
92,False,False,23.65,1688,1913,3601,0.004248,stop,
93,True,True,4.5,1130,204,1334,0.0006905,stop,
94,False,False,12.62,651,458,1109,0.00107875,stop,
95,True,True,9.81,458,723,1181,0.0015605,stop,
96,True,True,5.94,177,395,572,0.00083425,stop,
97,False,False,4.23,1066,330,1396,0.0009265,stop,
98,True,True,3.14,412,206,618,0.000515,stop,
99,False,False,6.23,1235,404,1639,0.00111675,stop,
100,True,True,3.64,311,206,517,0.00048975,stop,
101,False,False,8.78,1787,722,2509,0.00189075,stop,
102,True,True,4.99,275,207,482,0.00048275,stop,
103,False,False,10.88,828,783,1611,0.001773,stop,
104,True,True,3.05,1948,149,2097,0.000785,stop,
105,False,False,6.65,1075,530,1605,0.00132875,stop,
106,False,False,5.02,322,394,716,0.0008685,stop,
107,False,False,11.26,1990,486,2476,0.0014695,stop,
108,False,False,8.29,536,524,1060,0.001182,stop,
109,False,False,5.83,592,472,1064,0.001092,stop,
110,False,False,5.44,161,401,562,0.00084225,stop,
111,False,False,6.84,933,522,1455,0.00127725,stop,
112,True,True,9.51,489,591,1080,0.00130425,stop,
113,False,False,8.23,166,208,374,0.0004575,stop,
114,True,True,8.36,1040,663,1703,0.001586,stop,
115,False,False,5.83,870,331,1201,0.0008795,stop,
116,True,True,13.72,580,588,1168,0.001321,stop,
117,False,False,2.65,671,211,882,0.00058975,stop,
118,True,True,6.85,2137,405,2542,0.00134425,stop,
119,False,False,7.05,1758,461,2219,0.0013615,stop,
120,False,False,6.59,330,467,797,0.0010165,stop,
121,False,False,8.16,1108,600,1708,0.001477,stop,
122,True,True,2.93,719,140,859,0.00045975,stop,
123,True,True,12.16,932,1054,1986,0.002341,stop,
124,True,True,14.72,720,978,1698,0.002136,stop,
125,False,False,4.19,423,273,696,0.00065175,stop,
126,True,True,6.03,898,462,1360,0.0011485,stop,
127,False,False,9.61,2784,732,3516,0.00216,stop,
128,True,True,5.01,1303,335,1638,0.00099575,stop,
129,True,True,2.73,645,140,785,0.00044125,stop,
130,False,False,8.63,764,538,1302,0.001267,stop,
131,False,False,10.74,1333,667,2000,0.00166725,stop,
132,True,True,3.92,673,275,948,0.00071825,stop,
133,True,True,14.13,442,602,1044,0.0013145,stop,
134,True,True,10.14,364,590,954,0.001271,stop,
135,False,False,7.67,2137,617,2754,0.00176825,stop,
136,True,True,3.89,490,207,697,0.0005365,stop,
137,False,False,4.2,620,288,908,0.000731,stop,
138,True,True,15.26,330,1099,1429,0.0022805,stop,
139,True,True,9.51,284,269,553,0.000609,stop,
140,True,True,2.77,403,144,547,0.00038875,stop,
141,True,True,5.76,137,334,471,0.00070225,stop,
142,False,False,3.96,2943,219,3162,0.00117375,stop,
143,False,False,4.08,585,336,921,0.00081825,stop,
144,True,True,3.5,2890,208,3098,0.0011385,stop,
145,False,False,9.95,129,919,1048,0.00187025,stop,
146,False,False,4.68,4647,339,4986,0.00183975,stop,
147,True,True,3.29,179,207,386,0.00045875,stop,
148,True,True,8.71,791,780,1571,0.00175775,stop,
149,True,True,3.09,680,207,887,0.000584,stop,
150,True,True,2.1,1920,141,2061,0.000762,stop,
151,False,False,5.39,1096,211,1307,0.000696,stop,
152,False,False,6.99,1032,403,1435,0.001064,stop,
153,False,False,8.9,492,541,1033,0.001205,stop,
154,True,True,5.12,1331,336,1667,0.00100475,stop,
155,True,True,6.66,668,534,1202,0.001235,stop,
156,False,False,10.34,1637,671,2308,0.00175125,stop,
157,False,False,4.15,474,348,822,0.0008145,stop,
158,False,False,10.38,439,791,1230,0.00169175,stop,
159,False,False,4.09,204,282,486,0.000615,stop,
160,False,False,3.89,411,214,625,0.00053075,stop,
161,False,False,5.63,1658,403,2061,0.0012205,stop,
162,False,False,15.78,239,472,711,0.00100375,stop,
163,False,False,9.73,1924,459,2383,0.001399,stop,
164,True,True,11.26,964,844,1808,0.001929,stop,
165,True,True,4.38,782,209,991,0.0006135,stop,
166,False,False,3.92,1781,279,2060,0.00100325,stop,
167,False,False,4.5,613,267,880,0.00068725,stop,
168,False,False,5.17,739,344,1083,0.00087275,stop,
169,False,False,5.45,443,343,786,0.00079675,stop,
170,False,False,4.8,1206,288,1494,0.0008775,stop,
171,False,False,7.61,277,607,884,0.00128325,stop,
172,False,False,3.92,2073,210,2283,0.00093825,stop,
173,True,True,7.27,654,533,1187,0.0012295,stop,
174,False,False,7.41,593,530,1123,0.00120825,stop,
175,True,True,5.49,422,396,818,0.0008975,stop,
176,True,True,6.33,496,534,1030,0.001192,stop,
177,False,False,12.2,342,906,1248,0.0018975,stop,
178,False,False,4.05,249,273,522,0.00060825,stop,
179,True,True,12.43,1220,908,2128,0.002121,stop,
180,True,True,6.5,702,284,986,0.0007435,stop,
181,False,False,4.29,751,288,1039,0.00076375,stop,
182,True,True,7.99,987,588,1575,0.00142275,stop,
183,False,False,3.56,1144,278,1422,0.000842,stop,
184,False,False,6.5,282,477,759,0.0010245,stop,
185,True,True,9.45,366,906,1272,0.0019035,stop,
186,True,True,3.89,773,271,1044,0.00073525,stop,
187,True,True,10.38,1177,983,2160,0.00226025,stop,
188,True,True,5.39,893,401,1294,0.00102525,stop,
189,False,False,5.15,479,275,754,0.00066975,stop,
190,True,True,13.11,1518,861,2379,0.0021015,stop,
191,False,False,8.47,583,650,1233,0.00144575,stop,
192,False,False,7.45,1573,586,2159,0.00156525,stop,
193,True,True,4.01,749,336,1085,0.00085925,stop,
194,False,False,8.42,650,669,1319,0.0015005,stop,
195,False,False,4.98,1148,469,1617,0.001225,stop,
196,True,True,3.82,164,272,436,0.000585,stop,
197,False,False,6.4,4087,542,4629,0.00210575,stop,
198,True,True,7.22,1292,336,1628,0.000995,stop,
199,True,True,3.01,5305,209,5514,0.00174425,stop,
200,True,True,2.22,251,149,400,0.00036075,stop,
