id,exact_correct,strict_correct,contains_correct,latency_s,finish_reason,error
77,False,False,True,890.96,stop,
78,False,False,False,187.16,stop,
79,False,False,False,546.58,stop,
80,False,False,False,758.83,stop,
81,False,False,True,267.25,stop,
82,False,False,False,227.59,stop,
83,False,False,True,99.25,stop,
84,False,False,False,36.42,stop,
85,False,False,True,239.36,stop,
86,False,False,False,100.89,stop,
87,False,False,False,585.89,stop,
88,False,False,False,142.24,stop,
89,False,False,False,243.27,stop,
90,False,False,False,264.96,stop,
91,False,False,False,337.46,stop,
92,False,False,False,471.49,stop,
93,False,False,True,261.65,stop,
94,False,False,False,142.22,stop,
95,False,False,True,104.63,stop,
96,False,False,True,58.04,stop,
97,False,False,False,406.69,stop,
98,False,False,True,94.33,stop,
99,False,False,False,330.18,stop,
100,False,True,True,64.11,stop,
101,False,False,False,457.22,stop,
102,False,False,True,57.55,stop,
103,False,False,False,186.24,stop,
104,False,False,True,494.96,stop,
105,False,False,False,258.17,stop,
106,False,False,False,90.7,stop,
107,False,False,True,724.54,stop,
108,False,False,False,113.62,stop,
109,False,False,False,137.46,stop,
110,False,False,False,34.5,stop,
111,False,False,True,221.23,stop,
112,False,False,False,106.52,stop,
113,False,False,False,38.32,stop,
114,False,False,True,287.45,stop,
115,False,False,False,191.31,stop,
116,False,False,True,127.18,stop,
117,False,False,False,149.37,stop,
118,False,False,False,548.64,stop,
119,False,False,False,488.94,stop,
120,False,False,False,66.89,stop,
121,False,False,False,256.32,stop,
122,False,False,True,159.77,stop,
123,False,False,False,229.26,stop,
124,False,False,True,175.4,stop,
125,False,False,False,93.77,stop,
126,False,False,True,228.15,stop,
127,False,False,False,855.41,stop,
128,False,False,True,425.99,stop,
129,False,False,True,137.65,stop,
130,False,False,True,176.91,stop,
131,False,False,False,324.51,stop,
132,False,False,True,191.61,stop,
133,False,False,True,136.93,stop,
134,False,False,False,76.69,stop,
135,False,False,False,559.09,stop,
136,False,False,True,112.01,stop,
137,False,False,False,137.94,stop,
138,False,False,False,97.17,stop,
139,False,False,True,59.49,stop,
140,False,False,True,89.28,stop,
141,False,False,False,31.38,stop,
142,False,False,False,840.94,stop,
143,False,False,True,151.82,stop,
144,False,False,True,954.2,stop,
145,False,False,False,55.9,stop,
146,False,False,False,1649.58,stop,
147,False,False,True,45.64,stop,
148,False,False,False,190.9,stop,
149,False,False,True,146.72,stop,
150,False,False,True,454.45,stop,
151,False,False,False,255.26,stop,
152,False,False,False,256.92,stop,
153,False,False,False,101.98,stop,
154,False,False,True,307.03,stop,
155,False,False,False,161.65,stop,
156,False,False,False,551.84,stop,
157,False,False,False,107.97,stop,
158,False,False,False,93.0,stop,
159,False,False,False,51.26,stop,
160,False,False,False,95.53,stop,
161,False,False,True,468.26,stop,
162,False,False,False,61.99,stop,
163,False,False,False,489.86,stop,
164,False,False,True,237.42,stop,
165,False,False,True,191.79,stop,
166,False,False,False,420.68,stop,
167,False,False,True,163.1,stop,
168,False,False,False,176.84,stop,
169,False,False,False,315.65,stop,
170,False,False,False,292.76,stop,
171,False,False,False,71.57,stop,
172,False,False,False,526.24,stop,
173,False,False,False,153.05,stop,
174,False,False,False,130.04,stop,
175,False,False,True,98.71,stop,
176,False,False,False,123.12,stop,
177,False,False,False,105.55,stop,
178,False,False,False,52.15,stop,
179,False,False,True,276.39,stop,
180,False,False,False,173.89,stop,
181,False,False,False,179.88,stop,
182,False,False,True,237.7,stop,
183,False,False,False,273.77,stop,
184,False,False,False,63.43,stop,
185,False,False,False,90.23,stop,
186,False,False,True,168.96,stop,
187,False,False,False,265.84,stop,
188,False,True,True,204.32,stop,
189,False,False,False,106.49,stop,
190,False,False,True,869.61,stop,
191,False,False,False,181.19,stop,
192,False,False,False,423.29,stop,
193,False,False,True,170.15,stop,
194,False,False,False,140.6,stop,
195,False,False,False,270.39,stop,
196,False,False,True,58.48,stop,
197,False,False,False,1568.32,stop,
198,False,False,False,338.7,stop,
199,False,False,False,1593.56,stop,
200,False,True,True,60.5,stop,
